Condition,SystemID,ParticipantID,Trial#,Description,Meaning
dyads,NLD05,NLD051,20,bouncing circles move towards static squares on the left then stop moving when they meet,circles bounce squares PFV
dyads,NLD05,NLD052,17,nine bouncing circles moving from left to right toward nine static squares,circles bounce squares
dyads,NLD05,NLD051,6,nine circles move right to the static squares and then stop once they meet,circles slide squares PFV
dyads,NLD05,NLD051,4,nine circles moving towards and away from static squares which are on the right,circles slide squares
dyads,NLD05,NLD052,55,bouncing square right to left toward static circle,square bounce circle PFV
dyads,NLD05,NLD051,52,square bounces towards and away from static circle on the left,square bounce circle
dyads,NLD05,NLD052,39,square goes from right to left toward circle then stops,square slide circle PFV
dyads,NLD05,NLD052,29,square going toward a static circle on the right then back again,square slide circle
dyads,NLD05,NLD051,38,square bounces towards circles on the left then stops,square bounce circles PFV
dyads,NLD05,NLD052,59,bouncing square left to right toward static circles and back,square bounce circles
dyads,NLD05,NLD051,78,square slides left to circles then stops,square slide circles PFV
dyads,NLD05,NLD051,72,square slides right towards static circles and back,square slide circles
dyads,NLD05,NLD051,58,squares bounce right to static circle then stop,squares bounce circle PFV
dyads,NLD05,NLD052,31,bouncing squares move toward static circle then back again,squares bounce circle
dyads,NLD05,NLD051,32,squares slide left to static circle and then stop,squares slide circle PFV
dyads,NLD05,NLD051,14,nine squares moving left and right continuously towards and away from one static circle,squares slide circle
dyads,NLD05,NLD052,41,bouncing squares left to right toward circles on right,squares bounce circles PFV
dyads,NLD05,NLD052,37,squares move toward circles on the right and back again,squares bounce circles
dyads,NLD05,NLD052,53,squares left to right toward static circles on left,squares slide circles PFV
dyads,NLD05,NLD051,2,nine pink squares moving left and right towards and away from pink circles,squares slide circles
dyads,NLD05,NLD052,77,bouncing square right to left toward static square on left,square bounce square PFV
dyads,NLD05,NLD052,3,square jumping up and down moving toward one static square and back again,square bounce square
dyads,NLD05,NLD052,57,square right to left toward static square,square slide square PFV
dyads,NLD05,NLD052,73,square right to left toward static square on left and back,square slide square
dyads,NLD05,NLD052,25,bouncing square going from right to left toward nine static squares,square bounce squares PFV
dyads,NLD05,NLD052,5,square jumping up and down moving toward nine static squares and back again,square bounce squares
dyads,NLD05,NLD051,40,squares slides left to other squares then stops,square slide squares PFV
dyads,NLD05,NLD052,47,square left to right toward static squares and back again,square slide squares
dyads,NLD05,NLD052,45,bouncing squares right to left toward static square on left,squares bounce square PFV
dyads,NLD05,NLD052,9,nine squares moving toward one static square on the right and back again,squares bounce square
dyads,NLD05,NLD051,54,squares slide right to static square,squares slide square PFV
dyads,NLD05,NLD052,49,circles right to left toward static square and back,squares slide square
dyads,NLD05,NLD051,56,bouncing squares move left to static squares,squares bounce squares PFV
dyads,NLD05,NLD051,24,bouncing squares move left and right towards and away from static squares,squares bounce squares
dyads,NLD05,NLD052,69,squares left to right toward static squares then stop,squares slide squares PFV
dyads,NLD05,NLD051,16,nine squares moving continuously towards and away from nine static squares,squares slide squares
dyads,NLD05,NLD051,46,circle bounces right then stops,circle bounce PFV
dyads,NLD05,NLD052,61,bouncing circle going left to right continuously,circle bounce
dyads,NLD05,NLD051,44,circle right to left then stops,circle slide PFV
dyads,NLD05,NLD051,12,single circle moving left and right in straight lines,circle slide
dyads,NLD05,NLD052,79,circles left to right then stop,circles bounce PFV
dyads,NLD05,NLD052,13,nine bouncing circles moving left and right continuously,circles bounce
dyads,NLD05,NLD051,62,circles slide right then stop,circles slide PFV
dyads,NLD05,NLD051,76,circles slide left and right continuously,circles slide
dyads,NLD05,NLD051,36,one square bounces left then stops,square bounce PFV
dyads,NLD05,NLD052,1,pink square jumping up and down left to right continuously,square bounce
dyads,NLD05,NLD052,43,square right to left then stops,square slide PFV
dyads,NLD05,NLD052,51,single square moving left to right continuously,square slide
dyads,NLD05,NLD051,68,squares bounce right then stop,squares bounce PFV
dyads,NLD05,NLD051,70,squares bounce left and right continuously,squares bounce
dyads,NLD05,NLD052,35,nine squares going from left to right then stopping,squares slide PFV
dyads,NLD05,NLD052,33,nine squares moving left to right continuously,squares slide
dyads,NLD06,NLD061,24,a ball is bouncing towards another ball,circle bounce circle PFV
dyads,NLD06,NLD061,52,a ball bounces towards another ball,circle bounce circle
dyads,NLD06,NLD062,69,a ball hopping to a square,circle slide circle PFV
dyads,NLD06,NLD061,28,a ball is moving towards another ball,circle slide circle
dyads,NLD06,NLD062,25,a ball bouncing towards other balls,circle bounce circles PFV
dyads,NLD06,NLD061,26,a ball is bouncing towards other balls,circle bounce circles
dyads,NLD06,NLD061,68,a ball moving towards other balls,circle slide circles PFV
dyads,NLD06,NLD061,0,one ball bouncing onto other balls,circle slide circles
dyads,NLD06,NLD061,72,many balls hopping towards a ball,circles bounce circle PFV
dyads,NLD06,NLD061,18,many balls moving towards a ball,circles bounce circle
dyads,NLD06,NLD062,47,many balls moving towards one ball,circles slide circle PFV
dyads,NLD06,NLD061,8,many balls hopping to a ball,circles slide circle
dyads,NLD06,NLD061,40,many balls hopping towards many balls,circles bounce circles PFV
dyads,NLD06,NLD061,10,many balls hopping to a group of balls,circles bounce circles
dyads,NLD06,NLD062,49,many balls moving towards many balls,circles slide circles PFV
dyads,NLD06,NLD062,31,many balls moving towards many balls,circles slide circles
dyads,NLD06,NLD061,78,a ball bouncing towards a square,circle bounce square PFV
dyads,NLD06,NLD062,67,a ball hopping towards a square,circle bounce square
dyads,NLD06,NLD062,33,a ball moving towards a square,circle slide square PFV
dyads,NLD06,NLD062,29,a ball moving towards a square,circle slide square
dyads,NLD06,NLD062,35,a ball moving towards many squares,circle bounce squares PFV
dyads,NLD06,NLD061,34,a ball bouncing towards many squares,circle bounce squares
dyads,NLD06,NLD061,36,a ball moving towards many squares,circle slide squares PFV
dyads,NLD06,NLD062,65,a ball moving towards many squares,circle slide squares
dyads,NLD06,NLD061,48,many balls bouncing towards many squares,circles bounce square PFV
dyads,NLD06,NLD062,9,many balls hopping to a square,circles bounce square
dyads,NLD06,NLD061,62,many balls moving towards a square,circles slide square PFV
dyads,NLD06,NLD062,3,balls moving towards a square,circles slide square
dyads,NLD06,NLD061,56,many balls bouncing towards many squares,circles bounce squares PFV
dyads,NLD06,NLD062,73,many balls hopping to many squares,circles bounce squares
dyads,NLD06,NLD061,66,many balls moving towards many squares,circles slide squares PFV
dyads,NLD06,NLD061,2,balls hopping to squares,circles slide squares
dyads,NLD06,NLD062,53,a square bouncing towards a ball,square bounce circle PFV
dyads,NLD06,NLD061,6,a square hopping to a ball,square bounce circle
dyads,NLD06,NLD062,55,a square moving towards a circle,square slide circle PFV
dyads,NLD06,NLD062,41,a square moving towards a ball,square slide circle
dyads,NLD06,NLD061,32,a square is bouncing towards many balls,square bounce circles PFV
dyads,NLD06,NLD062,1,one square hopping to other balls,square bounce circles
dyads,NLD06,NLD061,58,a square moving towards many balls,square slide circles PFV
dyads,NLD06,NLD061,46,a square moving towards many balls,square slide circles
dyads,NLD06,NLD061,30,many squares are moving towards a ball,squares bounce circle PFV
dyads,NLD06,NLD062,75,many squares hopping to a circle,squares bounce circle
dyads,NLD06,NLD061,60,many squares moving towards a ball,squares slide circle PFV
dyads,NLD06,NLD061,22,a group of square moving towards a ball,squares slide circle
dyads,NLD06,NLD062,57,many squares moving towards many balls,squares bounce circles PFV
dyads,NLD06,NLD062,43,many squares hopping towards many balls,squares bounce circles
dyads,NLD06,NLD062,15,many squares moving towards many balls,squares slide circles PFV
dyads,NLD06,NLD061,4,squares moving towards balls,squares slide circles
dyads,NLD06,NLD062,79,many balls moving towards a square,square bounce square PFV
dyads,NLD06,NLD062,7,a square hopping to a square,square bounce square
dyads,NLD06,NLD062,71,a square moving towards a square,square slide square PFV
dyads,NLD06,NLD062,19,a square moving towards a square,square slide square
dyads,NLD06,NLD062,63,many squares moving towards a square,square bounce squares PFV
dyads,NLD06,NLD062,21,a square hopping towards many squares,square bounce squares
dyads,NLD06,NLD061,74,a square moving towards other squares,square slide squares PFV
dyads,NLD06,NLD062,13,one square moving towards many squares,square slide squares
dyads,NLD06,NLD062,5,squares hopping to one square,squares bounce square PFV
dyads,NLD06,NLD062,61,many squares hopping to a square,squares bounce square
dyads,NLD06,NLD061,54,many squares moving towards a square,squares slide square PFV
dyads,NLD06,NLD062,11,many square moving to a square,squares slide square
dyads,NLD06,NLD061,64,many squares moving towards many squares,squares bounce squares PFV
dyads,NLD06,NLD061,14,many squares hopping to a group of stationary squares,squares bounce squares
dyads,NLD06,NLD062,39,many squares moving towards many squares,squares slide squares PFV
dyads,NLD06,NLD061,50,many squares moving towards many squares,squares slide squares
dyads,NLD06,NLD061,44,a ball bounces and stops,circle bounce PFV
dyads,NLD06,NLD062,59,a hopping ball,circle bounce
dyads,NLD06,NLD061,38,a ball moves and stops,circle slide PFV
dyads,NLD06,NLD061,42,a moving ball,circle slide
dyads,NLD06,NLD062,17,many balls hop and stop,circles bounce PFV
dyads,NLD06,NLD062,27,many balls bouncing,circles bounce
dyads,NLD06,NLD061,20,a group of balls hop and stop,circles slide PFV
dyads,NLD06,NLD061,70,a group of moving balls,circles slide
dyads,NLD06,NLD061,12,one square hops and stops,square bounce PFV
dyads,NLD06,NLD062,37,a hopping square,square bounce
dyads,NLD06,NLD062,51,a moving square,square slide PFV
dyads,NLD06,NLD062,77,a moving square,square slide
dyads,NLD06,NLD061,16,many squares hop and stop,squares bounce PFV
dyads,NLD06,NLD061,76,a group of hopping squares,squares bounce
dyads,NLD06,NLD062,23,a group of squares moving,squares slide PFV
dyads,NLD06,NLD062,45,moving squares,squares slide
dyads,NLD07,NLD071,0,ball bouncing to other ball,circle bounce circle PFV
dyads,NLD07,NLD071,70,single circle bouncing back and forth between single c,circle bounce circle
dyads,NLD07,NLD072,31,single circle moving toward single circle on right once,circle slide circle PFV
dyads,NLD07,NLD071,26,single square moving back and forth between single circle that is on right of screen,circle slide circle
dyads,NLD07,NLD072,63,single circle bouncing towards cluster of circles,circle bounce circles PFV
dyads,NLD07,NLD071,20,single circle jumping back and forth between cluster of circles cluster is on right of screen,circle bounce circles
dyads,NLD07,NLD071,42,single circle hitting cluster of circles once,circle slide circles PFV
dyads,NLD07,NLD071,18,single circle going back and forth between cluster of circles,circle slide circles
dyads,NLD07,NLD071,12,cluster of circles hitting nonmoving circle once,circles bounce circle PFV
dyads,NLD07,NLD071,32,cluster of circles bouncing to and from single circle,circles bounce circle
dyads,NLD07,NLD072,47,cluster of circles moving once left to right,circles slide circle PFV
dyads,NLD07,NLD071,28,cluster of circles moving back and forth between circle,circles slide circle
dyads,NLD07,NLD071,24,cluster of circles jumping toward cluster of circles on right of screen once,circles bounce circles PFV
dyads,NLD07,NLD071,50,cluster of circles bouncing back and forth from cluster of c,circles bounce circles
dyads,NLD07,NLD072,79,cluster of circle moving to another cluster of circles,circles slide circles PFV
dyads,NLD07,NLD072,61,cluster of circles moving back and forth against cluster of circles,circles slide circles
dyads,NLD07,NLD071,48,single circle bouncing towards single square on left,circle bounce square PFV
dyads,NLD07,NLD072,17,single circle moving left towards cluster of squares,circle bounce square
dyads,NLD07,NLD072,73,single circle hitting single square once,circle slide square PFV
dyads,NLD07,NLD072,49,single circle moving back and forth against single square on right,circle slide square
dyads,NLD07,NLD072,29,single circle bouncing to and from cluster of squares on right of screen,circle bounce squares PFV
dyads,NLD07,NLD071,76,circle bouncing back and forth between cluster of squares,circle bounce squares
dyads,NLD07,NLD071,72,single circle hitting cluster of squares once,circle slide squares PFV
dyads,NLD07,NLD072,55,single circle moving back and forth against cluster of squares on right,circle slide squares
dyads,NLD07,NLD071,10,cluster of circles hitting nonmoving square,circles bounce square PFV
dyads,NLD07,NLD072,67,cluster of circles moving against single square,circles bounce square
dyads,NLD07,NLD071,6,cluster of circles hitting nonmoving square once,circles slide square PFV
dyads,NLD07,NLD072,41,cluster of circles moving back and forth against single square on right,circles slide square
dyads,NLD07,NLD071,8,cluster of circles hitting nonmoving square going left to right once,circles bounce squares PFV
dyads,NLD07,NLD072,9,cluster of circles jumping against nonmoving cluster of squares,circles bounce squares
dyads,NLD07,NLD071,30,cluster of circles moving towards cluster of squares on right once,circles slide squares PFV
dyads,NLD07,NLD071,22,cluster of circles moving left to right not jumping towards a cluster of squares that are on left of screen,circles slide squares
dyads,NLD07,NLD072,5,square jumping to and from circle on the right,square bounce circle PFV
dyads,NLD07,NLD071,64,single square bouncing back and forth between single circle,square bounce circle
dyads,NLD07,NLD072,25,single square moving towards single circle that is left of screen,square slide circle PFV
dyads,NLD07,NLD072,77,single square moving back and forth against single circle,square slide circle
dyads,NLD07,NLD071,68,bouncing square hitting cluster of circles once,square bounce circles PFV
dyads,NLD07,NLD072,53,single square bouncing back and forth against cluster of circles on left,square bounce circles
dyads,NLD07,NLD071,16,single square hitting cluster of circles once,square slide circles PFV
dyads,NLD07,NLD071,2,square hitting cluster of circles back and forth,square slide circles
dyads,NLD07,NLD071,38,cluster of squares bouncing towards single circle on right,squares bounce circle PFV
dyads,NLD07,NLD072,59,cluster of squares bouncing against single circle,squares bounce circle
dyads,NLD07,NLD071,54,cluster of s hitting single c once,squares slide circle PFV
dyads,NLD07,NLD071,14,cluster of squares hitting nonmoving single circle back and forth,squares slide circle
dyads,NLD07,NLD072,7,cluster of squares hitting nonmoving cluster of circles one,squares bounce circles PFV
dyads,NLD07,NLD072,33,cluster of squares bouncing to and from cluster of circles on right,squares bounce circles
dyads,NLD07,NLD072,23,cluster of squares moving left to right once against cluster of circles left of screen,squares slide circles PFV
dyads,NLD07,NLD071,62,cluster of squares moving back and forth against cluster of circles,squares slide circles
dyads,NLD07,NLD072,45,single square bouncing once against single square,square bounce square PFV
dyads,NLD07,NLD072,1,square jumping to and from other square,square bounce square
dyads,NLD07,NLD072,27,single square moving towards single square right of screen,square slide square PFV
dyads,NLD07,NLD072,69,single square moving continuously against another single square,square slide square
dyads,NLD07,NLD072,13,single square hitting nonmoving cluster of squares once,square bounce squares PFV
dyads,NLD07,NLD072,19,single square jumping back and forth against cluster of squares,square bounce squares
dyads,NLD07,NLD071,52,single s moving once toward cluster of s,square slide squares PFV
dyads,NLD07,NLD072,43,single square moving back and forth against cluster of squares,square slide squares
dyads,NLD07,NLD072,71,cluster of squares moving once,squares bounce square PFV
dyads,NLD07,NLD072,39,cluster of squares bouncing continuously against single square on left,squares bounce square
dyads,NLD07,NLD071,58,cluster of s hitting single s once,squares slide square PFV
dyads,NLD07,NLD072,51,cluster of squares moving back and forth against single square,squares slide square
dyads,NLD07,NLD071,36,cluster of squares bouncing once toward cluster of squares on right,squares bounce squares PFV
dyads,NLD07,NLD071,4,cluster of squares going back and forth to a cluster of squares that isnt moving,squares bounce squares
dyads,NLD07,NLD072,15,cluster of squares moving left once towards cluster of squares,squares slide squares PFV
dyads,NLD07,NLD071,44,cluster of squares moving back and forth between cluster of squares,squares slide squares
dyads,NLD07,NLD071,56,single circle bouncing left to right,circle bounce PFV
dyads,NLD07,NLD072,35,just a single circle bouncing left to right,circle bounce
dyads,NLD07,NLD071,66,single circle moving once right to left,circle slide PFV
dyads,NLD07,NLD071,60,single c moving back n forth,circle slide
dyads,NLD07,NLD072,21,just a cluster of circles moving left to right once,circles bounce PFV
dyads,NLD07,NLD072,57,cluster of circles bouncing left to right,circles bounce
dyads,NLD07,NLD071,34,just a cluster of circles moving once from left to right,circles slide PFV
dyads,NLD07,NLD071,40,just a cluster of circles moving back and forth,circles slide
dyads,NLD07,NLD071,78,single square moving towards circle,square bounce PFV
dyads,NLD07,NLD072,3,single square jumping,square bounce
dyads,NLD07,NLD072,11,just a single square moving left to right once,square slide PFV
dyads,NLD07,NLD072,65,just a single square moving continuously left to right,square slide
dyads,NLD07,NLD071,46,cluster of squares bouncing once to left,squares bounce PFV
dyads,NLD07,NLD071,74,cluster of squares bouncing back and forth,squares bounce
dyads,NLD07,NLD072,75,cluster of squares moving once,squares slide PFV
dyads,NLD07,NLD072,37,just a cluster of squares moving continuously left to right,squares slide
dyads,NLD08,NLD081,52,dot wave left dot,circle bounce circle PFV
dyads,NLD08,NLD081,76,dot wave right left dot,circle bounce circle
dyads,NLD08,NLD082,35,a dot left a dot and stopped,circle slide circle PFV
dyads,NLD08,NLD081,16,dot right left dot,circle slide circle
dyads,NLD08,NLD082,69,dot left dots and stops,circle bounce circles PFV
dyads,NLD08,NLD081,18,dot wave right left dots,circle bounce circles
dyads,NLD08,NLD081,24,dot right to cubes,circle slide circles PFV
dyads,NLD08,NLD081,60,dot right left dots,circle slide circles
dyads,NLD08,NLD081,74,dots wave right to dot,circles bounce circle PFV
dyads,NLD08,NLD081,26,dots wave right left dot,circles bounce circle
dyads,NLD08,NLD082,39,dots right to dot,circles slide circle PFV
dyads,NLD08,NLD081,34,dots right left dot,circles slide circle
dyads,NLD08,NLD081,68,dots right to dots,circles bounce circles PFV
dyads,NLD08,NLD081,72,dots wave left right dots,circles bounce circles
dyads,NLD08,NLD082,5,spots move left towars spots and stopped,circles slide circles PFV
dyads,NLD08,NLD082,1,spots moving left towards spots,circles slide circles
dyads,NLD08,NLD081,30,a dot waves left to a cube and stops,circle bounce square PFV
dyads,NLD08,NLD082,77,dot wave right cube,circle bounce square
dyads,NLD08,NLD082,29,a dot moves left to a cube and stops,circle slide square PFV
dyads,NLD08,NLD082,23,dot moves right to a cube,circle slide square
dyads,NLD08,NLD082,11,a spot waves left towards squares,circle bounce squares PFV
dyads,NLD08,NLD081,14,dot wave right left towards squares,circle bounce squares
dyads,NLD08,NLD081,66,dot left cubes,circle slide squares PFV
dyads,NLD08,NLD082,67,dot left cubes,circle slide squares
dyads,NLD08,NLD081,20,dots wave left to square,circles bounce square PFV
dyads,NLD08,NLD082,63,dots wave left cube,circles bounce square
dyads,NLD08,NLD081,58,dots left to cube,circles slide square PFV
dyads,NLD08,NLD082,57,dots left cube,circles slide square
dyads,NLD08,NLD081,8,dots waving right towards squares,circles bounce squares PFV
dyads,NLD08,NLD082,25,dots wave right to cubes,circles bounce squares
dyads,NLD08,NLD081,42,dots right to squares,circles slide squares PFV
dyads,NLD08,NLD081,12,spots right left towards squares,circles slide squares
dyads,NLD08,NLD082,47,dot wave left to cube,square bounce circle PFV
dyads,NLD08,NLD081,64,cube wave left right dot,square bounce circle
dyads,NLD08,NLD082,73,cube left dot and stops,square slide circle PFV
dyads,NLD08,NLD082,55,cube right dot,square slide circle
dyads,NLD08,NLD081,44,cube wave right to dots,square bounce circles PFV
dyads,NLD08,NLD082,45,cube wave left to dots,square bounce circles
dyads,NLD08,NLD081,46,cube left to dots,square slide circles PFV
dyads,NLD08,NLD081,28,cube left right dots,square slide circles
dyads,NLD08,NLD081,4,squares waving left towards a dot and stop,squares bounce circle PFV
dyads,NLD08,NLD082,37,cubes wave left to a dot,squares bounce circle
dyads,NLD08,NLD081,0,squares moving left towards dot,squares slide circle PFV
dyads,NLD08,NLD081,32,cubes left right dot,squares slide circle
dyads,NLD08,NLD082,27,cubes wave left to dots and stopped,squares bounce circles PFV
dyads,NLD08,NLD082,75,cubes wave right dots,squares bounce circles
dyads,NLD08,NLD082,3,squares moving left towards spots and stopped,squares slide circles PFV
dyads,NLD08,NLD081,2,squares moving left towards dots then right,squares slide circles
dyads,NLD08,NLD082,61,cube wave right cube and stop,square bounce square PFV
dyads,NLD08,NLD082,59,cube wave right cube,square bounce square
dyads,NLD08,NLD082,17,a square moves right to a square and stops,square slide square PFV
dyads,NLD08,NLD082,51,cube right cube,square slide square
dyads,NLD08,NLD082,43,dot wave to cube,square bounce squares PFV
dyads,NLD08,NLD082,65,cube wave left cubes,square bounce squares
dyads,NLD08,NLD081,38,dot left to dots,square slide squares PFV
dyads,NLD08,NLD082,15,a square moves left and right to squares,square slide squares
dyads,NLD08,NLD082,71,cubes wave left cube,squares bounce square PFV
dyads,NLD08,NLD082,9,squares waving right towards a square,squares bounce square
dyads,NLD08,NLD081,54,squares right to square,squares slide square PFV
dyads,NLD08,NLD082,7,squares moving right towards a spot back and forth,squares slide square
dyads,NLD08,NLD081,56,square wave right squares,squares bounce squares PFV
dyads,NLD08,NLD081,50,cubes wave left right cubes,squares bounce squares
dyads,NLD08,NLD082,33,cubes right cubes and stopped,squares slide squares PFV
dyads,NLD08,NLD081,6,squares move right towards squares and left,squares slide squares
dyads,NLD08,NLD081,36,dot wave left,circle bounce PFV
dyads,NLD08,NLD082,19,a dot waves right and left,circle bounce
dyads,NLD08,NLD081,78,dot right,circle slide PFV
dyads,NLD08,NLD081,48,dot left right,circle slide
dyads,NLD08,NLD082,53,dots wave left and stop,circles bounce PFV
dyads,NLD08,NLD082,21,dots wave left to right,circles bounce
dyads,NLD08,NLD081,40,dots left,circles slide PFV
dyads,NLD08,NLD081,62,dots right left,circles slide
dyads,NLD08,NLD081,10,dot wave left and stop,square bounce PFV
dyads,NLD08,NLD082,41,one cube waving,square bounce
dyads,NLD08,NLD082,79,cube left,square slide PFV
dyads,NLD08,NLD082,31,a cube moves left and right,square slide
dyads,NLD08,NLD081,70,cubes wave left,squares bounce PFV
dyads,NLD08,NLD081,22,squares wave right left,squares bounce
dyads,NLD08,NLD082,13,squares move left and stopped,squares slide PFV
dyads,NLD08,NLD082,49,cubes right left,squares slide
dyads,NLD09,NLD091,4,bouncing pink ball and still ball,circle bounce circle PFV
dyads,NLD09,NLD091,14,bouncing ball and still ball,circle bounce circle
dyads,NLD09,NLD092,39,moving ball stops at ball,circle slide circle PFV
dyads,NLD09,NLD091,52,moving ball and still ball,circle slide circle
dyads,NLD09,NLD092,75,bouncing ball stops at balls,circle bounce circles PFV
dyads,NLD09,NLD091,68,bouncing ball and still balls,circle bounce circles
dyads,NLD09,NLD091,36,moving ball stops at ball,circle slide circles PFV
dyads,NLD09,NLD091,72,moving ball and still balls,circle slide circles
dyads,NLD09,NLD091,74,bouncing balls stop at ball,circles bounce circle PFV
dyads,NLD09,NLD091,48,bouncing balls and still ball,circles bounce circle
dyads,NLD09,NLD092,25,moving balls stop at ball,circles slide circle PFV
dyads,NLD09,NLD091,16,moving balls and still ball,circles slide circle
dyads,NLD09,NLD091,78,moving balls stop at balls,circles bounce circles PFV
dyads,NLD09,NLD091,46,bouncing balls and still balls,circles bounce circles
dyads,NLD09,NLD092,59,moving balls stop at balls,circles slide circles PFV
dyads,NLD09,NLD092,73,moving balls and still balls,circles slide circles
dyads,NLD09,NLD091,56,bouncing ball stops at square,circle bounce square PFV
dyads,NLD09,NLD092,1,pink square bouncing ball,circle bounce square
dyads,NLD09,NLD092,61,moving ball stops at square,circle slide square PFV
dyads,NLD09,NLD092,41,moving ball and still square,circle slide square
dyads,NLD09,NLD092,23,bouncing ball stops at squares,circle bounce squares PFV
dyads,NLD09,NLD091,38,bouncing ball and still squares,circle bounce squares
dyads,NLD09,NLD091,20,moving ball stops at squares,circle slide squares PFV
dyads,NLD09,NLD092,11,moving pink ball still squares,circle slide squares
dyads,NLD09,NLD091,60,bouncing balls stop at square,circles bounce square PFV
dyads,NLD09,NLD092,57,bouncing balls and still square,circles bounce square
dyads,NLD09,NLD091,70,moving balls stop at square,circles slide square PFV
dyads,NLD09,NLD092,79,moving balls and still square,circles slide square
dyads,NLD09,NLD091,10,bouncing pink balls stop at pink squares,circles bounce squares PFV
dyads,NLD09,NLD092,69,bouncing balls and still squares,circles bounce squares
dyads,NLD09,NLD091,42,moving balls stop at squares,circles slide squares PFV
dyads,NLD09,NLD091,26,moving balls and still squares,circles slide squares
dyads,NLD09,NLD092,19,bouncing square stops at still ball,square bounce circle PFV
dyads,NLD09,NLD091,62,bouncing square and still ball,square bounce circle
dyads,NLD09,NLD092,35,moving square stops at ball,square slide circle PFV
dyads,NLD09,NLD092,3,moving pink square still ball,square slide circle
dyads,NLD09,NLD091,30,bouncing square stops at balls,square bounce circles PFV
dyads,NLD09,NLD092,63,bouncing square and still balls,square bounce circles
dyads,NLD09,NLD091,58,moving square stops at balls,square slide circles PFV
dyads,NLD09,NLD091,24,moving square still balls,square slide circles
dyads,NLD09,NLD091,50,bouncing squares stop at ball,squares bounce circle PFV
dyads,NLD09,NLD092,15,bouncing squares still ball,squares bounce circle
dyads,NLD09,NLD091,40,moving squares stop at ball,squares slide circle PFV
dyads,NLD09,NLD091,28,moving squares and still ball,squares slide circle
dyads,NLD09,NLD092,31,bouncing squares stop at balls,squares bounce circles PFV
dyads,NLD09,NLD092,7,bouncing squares and still balls,squares bounce circles
dyads,NLD09,NLD092,33,moving squares stop at balls,squares slide circles PFV
dyads,NLD09,NLD091,18,moving squares and still balls,squares slide circles
dyads,NLD09,NLD092,29,bouncing square stops at square,square bounce square PFV
dyads,NLD09,NLD092,43,bouncing square and still square,square bounce square
dyads,NLD09,NLD092,21,moving square stops at square,square slide square PFV
dyads,NLD09,NLD092,67,moving square and still square,square slide square
dyads,NLD09,NLD092,47,bouncing square stops at squares,square bounce squares PFV
dyads,NLD09,NLD092,65,bouncing square and still squares,square bounce squares
dyads,NLD09,NLD091,32,moving square stops at squares,square slide squares PFV
dyads,NLD09,NLD092,37,moving square and still squares,square slide squares
dyads,NLD09,NLD092,13,bouncing squares stop at square,squares bounce square PFV
dyads,NLD09,NLD092,5,bouncing pink squares and still square,squares bounce square
dyads,NLD09,NLD091,44,moving squares stop at square,squares slide square PFV
dyads,NLD09,NLD092,71,moving squares and still square,squares slide square
dyads,NLD09,NLD091,64,bouncing squares stop at squares,squares bounce squares PFV
dyads,NLD09,NLD091,6,bouncing pink squares and still squares,squares bounce squares
dyads,NLD09,NLD092,49,moving squares stop at squares,squares slide squares PFV
dyads,NLD09,NLD091,34,moving squares and still squares,squares slide squares
dyads,NLD09,NLD091,8,bouncing pink ball,circle bounce PFV
dyads,NLD09,NLD092,51,bouncing ball,circle bounce
dyads,NLD09,NLD091,66,moving ball then stops,circle slide PFV
dyads,NLD09,NLD091,76,moving ball,circle slide
dyads,NLD09,NLD092,53,bouncing balls then stop,circles bounce PFV
dyads,NLD09,NLD092,9,bouncing pink balls,circles bounce
dyads,NLD09,NLD091,0,pink dots,circles slide PFV
dyads,NLD09,NLD091,12,moving pink balls,circles slide
dyads,NLD09,NLD091,54,bouncing square then stop,square bounce PFV
dyads,NLD09,NLD092,45,bouncing square,square bounce
dyads,NLD09,NLD092,77,moving square then stops,square slide PFV
dyads,NLD09,NLD092,27,moving square,square slide
dyads,NLD09,NLD091,2,bouncing pink squares,squares bounce PFV
dyads,NLD09,NLD091,22,bouncing squares,squares bounce
dyads,NLD09,NLD092,17,moving squares stop,squares slide PFV
dyads,NLD09,NLD092,55,moving squares,squares slide
isolate,NLI01,NLI011,17,ball bouncing rapidly towards a ball,circle bounce circle PFV
isolate,NLI01,NLI011,71,ball bouncing back and forth a ball,circle bounce circle
isolate,NLI01,NLI011,39,ball approaching another static ball,circle slide circle PFV
isolate,NLI01,NLI011,79,ball bouncing off another ball,circle slide circle
isolate,NLI01,NLI011,3,ball bouncing towards balls,circle bounce circles PFV
isolate,NLI01,NLI011,61,ball bouncing back and forth off a group of balls,circle bounce circles
isolate,NLI01,NLI011,20,ball rolling towards balls,circle slide circles PFV
isolate,NLI01,NLI011,29,ball rolling back and forth off a group of balls,circle slide circles
isolate,NLI01,NLI011,14,school of balls flying towards square,circles bounce circle PFV
isolate,NLI01,NLI011,16,school of balls flying back and forth a square,circles bounce circle
isolate,NLI01,NLI011,77,group of balls moving towards another ball,circles slide circle PFV
isolate,NLI01,NLI011,42,balls hammering a ball,circles slide circle
isolate,NLI01,NLI011,47,school of balls flying towards balls,circles bounce circles PFV
isolate,NLI01,NLI011,68,school of balls flying back and forth off a group of squares,circles bounce circles
isolate,NLI01,NLI011,60,group of balls approaching group of balls,circles slide circles PFV
isolate,NLI01,NLI011,76,group of balls hammering another group of balls,circles slide circles
isolate,NLI01,NLI011,46,ball bouncing towards a square,circle bounce square PFV
